"Year","Phrase","Frequency","Corpus"
1800,"(human rights + human right)",1.61318951918954e-07,"eng_2019"
1801,"(human rights + human right)",1.37109346942665e-07,"eng_2019"
1802,"(human rights + human right)",1.26825795754293e-07,"eng_2019"
1803,"(human rights + human right)",1.26126400974107e-07,"eng_2019"
1804,"(human rights + human right)",1.14285175830834e-07,"eng_2019"
1805,"(human rights + human right)",1.24033022297354e-07,"eng_2019"
1806,"(human rights + human right)",1.16484417254727e-07,"eng_2019"
1807,"(human rights + human right)",1.14483413225587e-07,"eng_2019"
1808,"(human rights + human right)",1.31198435100138e-07,"eng_2019"
1809,"(human rights + human right)",1.35291429107351e-07,"eng_2019"
1810,"(human rights + human right)",1.36997240726292e-07,"eng_2019"
1811,"(human rights + human right)",1.25494382124154e-07,"eng_2019"
1812,"(human rights + human right)",1.18448973296381e-07,"eng_2019"
1813,"(human rights + human right)",1.3452335778652e-07,"eng_2019"
1814,"(human rights + human right)",1.67473882888609e-07,"eng_2019"
1815,"(human rights + human right)",1.76680361261918e-07,"eng_2019"
1816,"(human rights + human right)",1.89228760407088e-07,"eng_2019"
1817,"(human rights + human right)",1.94644880530908e-07,"eng_2019"
1818,"(human rights + human right)",2.0038137320861e-07,"eng_2019"
1819,"(human rights + human right)",2.11228586114284e-07,"eng_2019"
1820,"(human rights + human right)",2.02820972461382e-07,"eng_2019"
1821,"(human rights + human right)",1.94476721964471e-07,"eng_2019"
1822,"(human rights + human right)",2.04712388501045e-07,"eng_2019"
1823,"(human rights + human right)",2.0695747997885e-07,"eng_2019"
1824,"(human rights + human right)",2.19427419726311e-07,"eng_2019"
1825,"(human rights + human right)",2.21384739112247e-07,"eng_2019"
1826,"(human rights + human right)",2.16397011294183e-07,"eng_2019"
1827,"(human rights + human right)",2.22371313489995e-07,"eng_2019"
1828,"(human rights + human right)",2.17352654731582e-07,"eng_2019"
1829,"(human rights + human right)",2.35159813399832e-07,"eng_2019"
1830,"(human rights + human right)",2.56531724878479e-07,"eng_2019"
1831,"(human rights + human right)",2.55862674793304e-07,"eng_2019"
1832,"(human rights + human right)",2.85195473078862e-07,"eng_2019"
1833,"(human rights + human right)",3.71394555997995e-07,"eng_2019"
1834,"(human rights + human right)",4.14530245811713e-07,"eng_2019"
1835,"(human rights + human right)",4.59497513308601e-07,"eng_2019"
1836,"(human rights + human right)",4.77083871836775e-07,"eng_2019"
1837,"(human rights + human right)",4.85772757384341e-07,"eng_2019"
1838,"(human rights + human right)",5.53291855506391e-07,"eng_2019"
1839,"(human rights + human right)",6.01926584258601e-07,"eng_2019"
1840,"(human rights + human right)",5.86615348550725e-07,"eng_2019"
1841,"(human rights + human right)",6.07422470924998e-07,"eng_2019"
1842,"(human rights + human right)",6.2736521907628e-07,"eng_2019"
1843,"(human rights + human right)",6.67336707290847e-07,"eng_2019"
1844,"(human rights + human right)",6.95150462653211e-07,"eng_2019"
1845,"(human rights + human right)",6.97779874769822e-07,"eng_2019"
1846,"(human rights + human right)",6.9008288201238e-07,"eng_2019"
1847,"(human rights + human right)",6.86701090403728e-07,"eng_2019"
1848,"(human rights + human right)",6.64282685493488e-07,"eng_2019"
1849,"(human rights + human right)",6.7793207745938e-07,"eng_2019"
1850,"(human rights + human right)",6.4933147062415e-07,"eng_2019"
1851,"(human rights + human right)",6.3958343129603e-07,"eng_2019"
1852,"(human rights + human right)",6.1815112977521e-07,"eng_2019"
1853,"(human rights + human right)",6.17364141776631e-07,"eng_2019"
1854,"(human rights + human right)",5.9913683259083e-07,"eng_2019"
1855,"(human rights + human right)",5.84221690961125e-07,"eng_2019"
1856,"(human rights + human right)",5.31533277329085e-07,"eng_2019"
1857,"(human rights + human right)",5.25112567523982e-07,"eng_2019"
1858,"(human rights + human right)",5.18320754443786e-07,"eng_2019"
1859,"(human rights + human right)",5.04929944712883e-07,"eng_2019"
1860,"(human rights + human right)",4.98507669683639e-07,"eng_2019"
1861,"(human rights + human right)",5.279040640817e-07,"eng_2019"
1862,"(human rights + human right)",5.5666356146844e-07,"eng_2019"
1863,"(human rights + human right)",5.96991160506377e-07,"eng_2019"
1864,"(human rights + human right)",5.91640481368521e-07,"eng_2019"
1865,"(human rights + human right)",5.90588885225023e-07,"eng_2019"
1866,"(human rights + human right)",6.00799542179889e-07,"eng_2019"
1867,"(human rights + human right)",5.83478278518409e-07,"eng_2019"
1868,"(human rights + human right)",5.44325931376274e-07,"eng_2019"
1869,"(human rights + human right)",5.25361813734954e-07,"eng_2019"
1870,"(human rights + human right)",4.88822710817008e-07,"eng_2019"
1871,"(human rights + human right)",5.04668658355253e-07,"eng_2019"
1872,"(human rights + human right)",5.08048457399062e-07,"eng_2019"
1873,"(human rights + human right)",4.93054786586202e-07,"eng_2019"
1874,"(human rights + human right)",4.91391926768106e-07,"eng_2019"
1875,"(human rights + human right)",4.76596720691954e-07,"eng_2019"
1876,"(human rights + human right)",4.64019184473078e-07,"eng_2019"
1877,"(human rights + human right)",4.60629231773575e-07,"eng_2019"
1878,"(human rights + human right)",4.36613957179231e-07,"eng_2019"
1879,"(human rights + human right)",4.23319421928779e-07,"eng_2019"
1880,"(human rights + human right)",4.14454125368431e-07,"eng_2019"
1881,"(human rights + human right)",4.13224295670034e-07,"eng_2019"
